"page","name","properties","status","comment","call_type","destination"
"page_summary","RemoveItem","{""itemId"":""2erf23f3eraat3"",""saleId"":""7b5b8da79f334e628b2ecfa61"",""category"":""jewelry"",""profile"":""gender du produit"",""listPrice"":""79.00"",""netPrice"":""39.50"",""discountAmount"":""39.50"",""discountRate"":""0.5"",""brand"":""brand name""}","New","","track","Elastic Search"
"page_summary","ContinueShopping","","New","","track","Elastic Search"
"page_summary","StartCheckout","{""cartSize"":"""",""cartPrice"":"""",""saving"":"""",""cartId"":""""}","New","","track","Elastic Search"
"page_login","Edit","{""field"":""email/phone ou password"",""from"":""PageLogin""}","New","","track","Elastic Search"
"page_login","ForgotPassword","","New","","track","Elastic Search"
"page_login","SendMagicLink","","New","","track","Elastic Search"
"page_login","OpenMailbox","","New","","track","Elastic Search"
"modal_login","SendMagicLink","","New","","track","Elastic Search"
"modal_login","ForgotPassword","","New","","track","Elastic Search"
"modal_login","Edit","{""field"":""password"",""from"":""PageCheckout""}","New","","track","Elastic Search"
"modal_login","AuthenticationSuccess","{""from"":""PageCheckout"",""via"":""password/magicLink""}","New","","track","Elastic Search"
"modal_login","AuthenticationFailure","{""from"":""PageCheckout"",""via"":""password/magicLink""}","New","","track","Elastic Search"
"page_login","AuthenticationSuccess","{""from"":""PageLogin"",""via"":""password/magicLink""}","New","","track","Elastic Search"
"page_login","AuthenticationFailure","{""from"":""PageLogin"",""via"":""password/magicLink""}","New","","track","Elastic Search"
"page_all_orders","ShowOrderDetails","{""shippingStatus"":"""",""orderAmount"":"""",""saleId"":"""",""categories"":""array listant chaque categorie presente sans la multiplicite"",""saving"":""""}","New","","track","Elastic Search"
"page_order_details","CheckDeliveryStatus","{""shippingStatus"":"""",""shippingCompany"":"""",""timeSinceOrder"":""temps ecoule depuis la commande""}","New","","track","Elastic Search"
"page_order_details","ContactUs","{""url"":""https://appchoose.io/order""}","New","","track","Elastic Search"
"modal_chat","FocusDialog","","New","","track","Elastic Search"
"modal_chat","SendMessage","{""content"":""full message content"",""url"":""url de la page""}","Implemented","","track","Elastic Search"
"page_confirmation","OrderSuccess","{""cartPrice"":"""",""cartSize"":"""",""categories"":"""",""deliveryCost"":"""",""items"":""array avec les itemids"",""orderAmount"":""total que paie le user avec la livraison et les codes etc"",""saving"":"""",""paymentType"":""ApplePay/GooglePay/Visa/MasterCard/AmericanExpress"",""code"":""code promo""}","New","","track","Elastic Search"
"page_confirmation","Order Failure","{""cartPrice"":"""",""cartSize"":"""",""categories"":""array avec chaque categorie presente sans la multiplicite"",""deliveryCost"":"""",""items"":""array avec les itemIds"",""orderAmount"":""total que paie le user avec la livraison et les codes etc"",""saving"":"""",""paymentType"":""ApplePay/GooglePay/Visa/etc"",""code"":""code promo"",""failureType"":""invalid/expired/etc""}","New","","track","Elastic Search"
"page_confirmation","Edit","{""field"":""password"",""from"":""PageConfirmation""}","New","","track","Elastic Search"
"page_confirmation","Download App","{""store"":""AppleStore/GooglePlay"",""from"":""PageConfirmation""}","New","","track","Elastic Search"
"page_confirmation","CreateAccount","{""from"":""PageConfirmation""}","New","quand le mec clique sur Enregistrer","track","Elastic Search"
"page_confirmation","AccountSuccess","{""from"":""PageConfirmation""}","New","","track","Elastic Search"
"page_confirmation","AccountFailure","{""from"":""PageConfirmation""}","New","","track","Elastic Search"
"page_signup","AccountSuccess","{""from"":""PageSignup""}","Implemented","","track","Elastic Search"
"page_signup","AccountFailure","{""from"":""PageSignup""}","Implemented","","track","Elastic Search"
"page_summary","UseCode","{""cartId"":""""}","New","","track","Elastic Search"
"page_summary","CodeFailure","{""code"":""code promo utilise"",""failureType"":""invalid/conditions/expiration"",""cartId"":""""}","New","","track","Elastic Search"
"modal_chat","ClickChat","{""url"":"" window.location.href""}","Implemented","","track","Elastic Search"
